Start,End,Open,High,Low,Close,Volume, Market Cap
2018-06-11,2018-06-12,527.5439605,536.1945053,514.2637423,528.5927786,1825476361,52693479136
2018-06-10,2018-06-11,600.6627844,600.6627844,512.4855195,526.8590521,1347566018,56212708067
2018-06-09,2018-06-10,601.5616953,606.8190229,598.356634,599.9311665,971789225.5,60299210592
2018-06-08,2018-06-09,604.2037163,606.8805358,595.8251771,601.6007236,1128933074,60148826885
2018-06-07,2018-06-08,601.1092748,614.2055652,601.1092748,603.8687445,1263471595,60877374970
2018-06-06,2018-06-07,608.696651,611.5618285,595.5952002,600.9063291,1192014984,60606851710
2018-06-05,2018-06-06,592.6594891,609.4324824,579.8295228,608.7875932,1567205738,59479304098
2018-06-04,2018-06-05,618.4766354,623.2909147,582.0433108,593.1158849,2047758853,60146815779
2018-06-03,2018-06-04,589.6290162,623.8276698,589.6290162,617.9003469,2047138931,61011806986
2018-06-02,2018-06-03,580.2190942,596.0256839,576.9334446,589.8613714,1413271879,58665001497
2018-06-01,2018-06-02,579.2367433,589.5006003,568.0318216,580.6013125,1423274484,57547503786
2018-05-31,2018-06-01,560.0108041,585.3935739,557.5120714,578.9579712,1371534298,57046278458
2018-05-30,2018-05-31,566.705104,584.6988852,546.3573765,560.6318176,1614203297,56277284447
2018-05-29,2018-05-30,515.6456646,573.0884393,515.6456646,565.9349092,1727333283,54375828297
2018-05-28,2018-05-29,572.1623545,577.1849008,513.0214791,516.5115015,1757075923,53936295465
2018-05-27,2018-05-28,588.2990161,589.8484655,561.0606334,572.3395077,1397752289,57470479639
2018-05-26,2018-05-27,586.2647606,605.2034998,582.9019624,587.9445262,1503966637,59582565709
2018-05-25,2018-05-26,603.3151636,617.058009,574.66528,585.3823469,2090899491,59298525234
2018-05-24,2018-05-25,581.8723287,611.3575209,557.0516404,601.5695822,2561254108,58948874002
2018-05-23,2018-05-24,646.1389435,651.4654382,572.7549992,584.3658746,2142969845,61568862908
2018-05-22,2018-05-23,699.1622495,700.1118274,644.709518,647.4962957,1618819289,68102624162
2018-05-21,2018-05-22,715.6648424,718.9774299,691.983015,699.748248,1608903904,70588132160
